,"('delta',)","('lambda',)",delta_pred,lambda_pred
238,0.533,0.5,0.503,0.27
239,0.467,0.233,0.473,0.309
240,0.4,0.1,0.473,0.309
241,0.533,0.367,0.473,0.309
242,0.533,0.233,0.473,0.309
243,0.533,0.233,0.503,0.27
244,0.467,0.1,0.534,0.231
245,0.6,0.5,0.503,0.27
246,0.467,0.1,0.503,0.27
247,0.533,0.5,0.503,0.27
248,0.4,0.5,0.467,0.365
249,0.467,0.233,0.503,0.27
250,0.467,0.233,0.473,0.309
251,0.533,0.233,0.467,0.357
252,0.533,0.5,0.503,0.27
253,0.6,0.367,0.534,0.231
254,0.6,0.367,0.467,0.365
255,0.6,0.233,0.473,0.309
256,0.467,0.1,0.467,0.357
257,0.4,0.233,0.467,0.365
258,0.4,0.5,0.473,0.309
259,0.4,0.1,0.503,0.27
260,0.533,0.1,0.467,0.357
261,0.467,0.5,0.467,0.365
262,0.533,0.367,0.503,0.27
263,0.533,0.367,0.473,0.309
264,0.533,0.367,0.503,0.27
265,0.4,0.367,0.467,0.357
266,0.533,0.233,0.473,0.309
267,0.467,0.5,0.473,0.309
268,0.467,0.5,0.503,0.27
269,0.6,0.1,0.534,0.231
270,0.6,0.1,0.473,0.309
271,0.533,0.1,0.534,0.231
272,0.4,0.5,0.473,0.309
273,0.6,0.5,0.467,0.365
274,0.6,0.233,0.467,0.365
275,0.6,0.5,0.467,0.365
276,0.533,0.5,0.503,0.27
277,0.4,0.233,0.473,0.309
278,0.6,0.1,0.534,0.231
279,0.4,0.1,0.503,0.27
280,0.4,0.233,0.473,0.309
281,0.533,0.233,0.467,0.365
282,0.533,0.1,0.467,0.357
283,0.533,0.367,0.473,0.309
284,0.467,0.233,0.473,0.309
285,0.533,0.233,0.467,0.357
286,0.533,0.5,0.503,0.27
287,0.6,0.367,0.503,0.27
288,0.533,0.5,0.473,0.309
289,0.467,0.1,0.473,0.309
290,0.533,0.5,0.467,0.357
291,0.6,0.1,0.534,0.231
292,0.467,0.367,0.503,0.27
293,0.6,0.5,0.503,0.27
294,0.6,0.1,0.534,0.231
295,0.467,0.5,0.473,0.309
296,0.6,0.367,0.467,0.365
297,0.467,0.233,0.503,0.27
298,0.533,0.233,0.503,0.27
299,0.533,0.1,0.473,0.309
300,0.6,0.1,0.503,0.27
301,0.533,0.5,0.473,0.309
302,0.6,0.367,0.503,0.27
303,0.4,0.367,0.503,0.27
304,0.6,0.233,0.534,0.231
305,0.467,0.5,0.467,0.365
306,0.467,0.5,0.473,0.309
307,0.6,0.5,0.473,0.309
308,0.4,0.1,0.473,0.309
309,0.467,0.5,0.473,0.309
310,0.4,0.5,0.473,0.309
311,0.467,0.1,0.473,0.309
312,0.467,0.367,0.503,0.27
313,0.6,0.5,0.473,0.309
314,0.467,0.1,0.534,0.231
315,0.467,0.1,0.467,0.357
316,0.467,0.367,0.56,0.2
317,0.4,0.1,0.473,0.309
318,0.467,0.5,0.503,0.27
319,0.6,0.1,0.467,0.357
320,0.6,0.233,0.473,0.309
321,0.467,0.367,0.473,0.309
322,0.6,0.5,0.467,0.357
323,0.533,0.5,0.467,0.365
324,0.4,0.5,0.473,0.309
325,0.467,0.1,0.503,0.27
326,0.4,0.367,0.503,0.27
327,0.467,0.5,0.467,0.365
328,0.6,0.367,0.473,0.309
329,0.4,0.233,0.534,0.231
330,0.533,0.367,0.467,0.357
331,0.467,0.1,0.467,0.365
332,0.6,0.5,0.534,0.231
333,0.6,0.1,0.473,0.309
334,0.467,0.233,0.503,0.27
335,0.6,0.367,0.534,0.231
336,0.4,0.1,0.467,0.365
337,0.4,0.367,0.503,0.27
338,0.4,0.233,0.503,0.27
339,0.533,0.5,0.467,0.365
340,0.6,0.367,0.473,0.309
341,0.533,0.5,0.467,0.365
342,0.4,0.367,0.56,0.2
343,0.4,0.1,0.473,0.309
344,0.6,0.1,0.473,0.309
345,0.467,0.233,0.467,0.365
346,0.467,0.5,0.473,0.309
347,0.4,0.5,0.473,0.309
348,0.4,0.367,0.473,0.309
349,0.4,0.367,0.473,0.309
350,0.4,0.233,0.473,0.309
351,0.533,0.233,0.534,0.231
352,0.467,0.367,0.467,0.365
353,0.467,0.233,0.473,0.309
354,0.6,0.233,0.534,0.231
355,0.4,0.1,0.503,0.27
356,0.533,0.1,0.467,0.365
357,0.4,0.367,0.467,0.357
358,0.467,0.367,0.467,0.365
359,0.4,0.1,0.473,0.309
360,0.6,0.233,0.534,0.231
361,0.467,0.233,0.503,0.27
362,0.467,0.5,0.467,0.357
363,0.467,0.233,0.503,0.27
364,0.6,0.233,0.467,0.365
365,0.4,0.367,0.473,0.309
366,0.4,0.367,0.473,0.309
367,0.533,0.5,0.467,0.357
368,0.6,0.1,0.534,0.231
369,0.4,0.233,0.534,0.231
370,0.467,0.367,0.467,0.365
371,0.6,0.5,0.503,0.27
372,0.533,0.233,0.473,0.309
373,0.533,0.1,0.467,0.357
374,0.533,0.233,0.534,0.231
375,0.533,0.367,0.473,0.309
376,0.467,0.1,0.534,0.231
377,0.467,0.233,0.467,0.365
378,0.6,0.233,0.503,0.27
379,0.4,0.1,0.503,0.27
380,0.467,0.367,0.467,0.365
381,0.6,0.1,0.503,0.27
382,0.533,0.5,0.503,0.27
383,0.467,0.367,0.473,0.309
384,0.4,0.233,0.467,0.357
385,0.467,0.1,0.473,0.309
386,0.467,0.367,0.473,0.309
387,0.467,0.367,0.467,0.365
388,0.4,0.233,0.503,0.27
389,0.6,0.5,0.473,0.309
390,0.6,0.1,0.473,0.309
391,0.533,0.5,0.467,0.357
392,0.533,0.233,0.503,0.27
393,0.467,0.367,0.503,0.27
394,0.4,0.233,0.467,0.365
395,0.6,0.367,0.467,0.357
396,0.467,0.367,0.473,0.309
397,0.467,0.367,0.467,0.365
398,0.6,0.1,0.534,0.231
399,0.533,0.5,0.473,0.309
400,0.467,0.233,0.473,0.309
401,0.4,0.367,0.467,0.357
402,0.6,0.367,0.473,0.309
403,0.4,0.367,0.473,0.309
404,0.4,0.5,0.467,0.365
405,0.533,0.5,0.467,0.365
406,0.533,0.1,0.473,0.309
407,0.4,0.1,0.473,0.309
408,0.533,0.5,0.473,0.309
409,0.533,0.233,0.503,0.27
410,0.533,0.1,0.503,0.27
411,0.533,0.1,0.503,0.27
412,0.6,0.1,0.503,0.27
413,0.6,0.1,0.473,0.309
414,0.467,0.367,0.503,0.27
415,0.533,0.367,0.467,0.357
416,0.4,0.1,0.473,0.309
417,0.6,0.367,0.473,0.309
418,0.533,0.233,0.473,0.309
419,0.533,0.5,0.503,0.27
420,0.467,0.233,0.473,0.309
421,0.533,0.367,0.473,0.309
422,0.467,0.5,0.467,0.357
423,0.4,0.367,0.467,0.365
424,0.467,0.233,0.467,0.357
425,0.4,0.5,0.503,0.27
426,0.533,0.233,0.534,0.231
427,0.4,0.233,0.473,0.309
428,0.6,0.1,0.467,0.357
429,0.467,0.1,0.534,0.231
430,0.4,0.367,0.473,0.309
431,0.6,0.233,0.534,0.231
432,0.4,0.367,0.503,0.27
433,0.533,0.1,0.503,0.27
434,0.6,0.367,0.503,0.27
435,0.4,0.233,0.473,0.309
436,0.533,0.1,0.503,0.27
437,0.4,0.1,0.473,0.309
438,0.467,0.233,0.467,0.365
439,0.6,0.1,0.467,0.365
440,0.467,0.367,0.503,0.27
441,0.4,0.233,0.503,0.27
442,0.467,0.5,0.473,0.309
443,0.6,0.1,0.503,0.27
444,0.6,0.233,0.473,0.309
445,0.6,0.367,0.534,0.231
446,0.6,0.367,0.534,0.231
447,0.533,0.1,0.467,0.357
448,0.533,0.233,0.473,0.309
449,0.6,0.1,0.473,0.309
450,0.6,0.367,0.473,0.309
451,0.4,0.1,0.503,0.27
452,0.533,0.367,0.467,0.365
453,0.467,0.367,0.467,0.365
454,0.4,0.367,0.467,0.365
455,0.6,0.367,0.467,0.357
456,0.4,0.5,0.503,0.27
457,0.4,0.367,0.473,0.309
458,0.533,0.233,0.473,0.309
459,0.6,0.1,0.534,0.231
460,0.4,0.233,0.467,0.357
461,0.467,0.5,0.503,0.27
462,0.4,0.233,0.473,0.309
463,0.4,0.367,0.467,0.365
464,0.4,0.367,0.473,0.309
465,0.4,0.1,0.473,0.309
466,0.6,0.233,0.503,0.27
467,0.6,0.367,0.473,0.309
468,0.4,0.367,0.503,0.27
469,0.467,0.5,0.503,0.27
470,0.533,0.1,0.534,0.231
471,0.6,0.233,0.473,0.309
472,0.467,0.367,0.56,0.2
473,0.4,0.233,0.467,0.357
474,0.6,0.5,0.473,0.309
475,0.4,0.233,0.467,0.365
476,0.533,0.5,0.473,0.309
477,0.4,0.233,0.473,0.309
478,0.533,0.367,0.473,0.309
479,0.6,0.233,0.473,0.309
480,0.467,0.5,0.467,0.365
481,0.533,0.1,0.534,0.231
482,0.533,0.1,0.503,0.27
483,0.467,0.367,0.473,0.309
484,0.533,0.233,0.467,0.365
485,0.533,0.5,0.503,0.27
486,0.6,0.367,0.467,0.365
487,0.6,0.367,0.467,0.365
488,0.4,0.233,0.467,0.357
489,0.467,0.233,0.473,0.309
490,0.467,0.233,0.467,0.357
491,0.467,0.367,0.473,0.309
492,0.4,0.5,0.473,0.309
493,0.4,0.233,0.503,0.27
494,0.467,0.233,0.503,0.27
495,0.4,0.5,0.467,0.365
496,0.467,0.5,0.467,0.357
497,0.533,0.367,0.503,0.27
498,0.6,0.5,0.473,0.309
499,0.533,0.5,0.503,0.27
500,0.4,0.233,0.534,0.231
501,0.533,0.367,0.473,0.309
502,0.467,0.233,0.473,0.309
503,0.4,0.1,0.473,0.309
504,0.533,0.233,0.473,0.309
505,0.4,0.1,0.503,0.27
506,0.533,0.233,0.467,0.357
507,0.4,0.5,0.467,0.357
508,0.467,0.233,0.503,0.27
509,0.467,0.1,0.473,0.309
510,0.6,0.5,0.534,0.231
511,0.4,0.367,0.473,0.309
512,0.4,0.5,0.467,0.365
513,0.533,0.5,0.503,0.27
514,0.6,0.367,0.534,0.231
515,0.4,0.367,0.467,0.357
516,0.6,0.5,0.503,0.27
517,0.467,0.5,0.503,0.27
518,0.6,0.233,0.503,0.27
519,0.533,0.5,0.503,0.27
520,0.533,0.233,0.534,0.231
521,0.4,0.1,0.467,0.357
522,0.4,0.367,0.503,0.27
523,0.533,0.5,0.473,0.309
524,0.533,0.233,0.467,0.357
525,0.533,0.5,0.534,0.231
526,0.533,0.233,0.473,0.309
527,0.533,0.1,0.503,0.27
528,0.6,0.1,0.534,0.231
529,0.4,0.1,0.473,0.309
530,0.6,0.5,0.467,0.365
531,0.467,0.367,0.473,0.309
532,0.4,0.5,0.467,0.365
533,0.467,0.367,0.56,0.2
534,0.4,0.233,0.473,0.309
535,0.533,0.1,0.467,0.357
536,0.533,0.367,0.467,0.357
537,0.467,0.233,0.534,0.231
538,0.467,0.1,0.534,0.231
539,0.533,0.5,0.503,0.27
540,0.6,0.5,0.473,0.309
541,0.4,0.5,0.467,0.365
542,0.467,0.367,0.467,0.357
543,0.4,0.233,0.534,0.231
544,0.6,0.1,0.503,0.27
545,0.467,0.5,0.473,0.309
546,0.6,0.233,0.503,0.27
547,0.4,0.1,0.503,0.27
548,0.467,0.5,0.473,0.309
549,0.533,0.1,0.473,0.309
550,0.4,0.1,0.473,0.309
551,0.6,0.367,0.467,0.357
552,0.6,0.233,0.467,0.365
553,0.4,0.5,0.467,0.365
554,0.6,0.233,0.534,0.231
555,0.6,0.367,0.534,0.231
556,0.4,0.1,0.503,0.27
557,0.4,0.367,0.473,0.309
558,0.6,0.5,0.473,0.309
559,0.4,0.367,0.467,0.365
560,0.6,0.233,0.467,0.365
561,0.4,0.233,0.467,0.365
562,0.4,0.233,0.467,0.365
563,0.533,0.1,0.473,0.309
564,0.4,0.5,0.473,0.309
565,0.533,0.1,0.503,0.27
566,0.6,0.367,0.473,0.309
567,0.467,0.367,0.467,0.365
568,0.6,0.367,0.534,0.231
569,0.6,0.1,0.503,0.27
570,0.6,0.233,0.473,0.309
571,0.6,0.5,0.503,0.27
572,0.4,0.233,0.467,0.365
573,0.6,0.233,0.503,0.27
574,0.4,0.5,0.503,0.27
575,0.6,0.367,0.534,0.231
576,0.6,0.233,0.467,0.357
577,0.533,0.5,0.473,0.309
578,0.467,0.367,0.503,0.27
579,0.6,0.1,0.467,0.357
580,0.533,0.1,0.467,0.357
581,0.6,0.1,0.467,0.357
582,0.6,0.1,0.473,0.309
583,0.467,0.5,0.467,0.365
584,0.467,0.1,0.473,0.309
585,0.6,0.367,0.473,0.309
586,0.467,0.5,0.503,0.27
587,0.6,0.367,0.473,0.309
588,0.467,0.233,0.503,0.27
589,0.467,0.1,0.473,0.309
590,0.467,0.233,0.473,0.309
591,0.6,0.5,0.503,0.27
592,0.6,0.1,0.467,0.365
593,0.6,0.5,0.467,0.365
594,0.4,0.5,0.467,0.365
595,0.4,0.367,0.503,0.27
596,0.467,0.5,0.473,0.309
597,0.533,0.367,0.534,0.231
598,0.6,0.367,0.473,0.309
599,0.4,0.233,0.473,0.309
600,0.6,0.233,0.473,0.309
601,0.6,0.5,0.473,0.309
602,0.467,0.5,0.473,0.309
603,0.4,0.1,0.467,0.365
604,0.4,0.1,0.473,0.309
605,0.467,0.233,0.467,0.365
606,0.467,0.233,0.467,0.365
607,0.6,0.5,0.503,0.27
608,0.4,0.233,0.467,0.365
609,0.6,0.233,0.473,0.309
610,0.4,0.233,0.467,0.365
611,0.6,0.233,0.534,0.231
612,0.6,0.1,0.473,0.309
613,0.4,0.1,0.473,0.309
614,0.6,0.367,0.467,0.357
615,0.4,0.233,0.467,0.365
616,0.533,0.233,0.473,0.309
617,0.6,0.233,0.503,0.27
618,0.6,0.5,0.473,0.309
619,0.6,0.1,0.467,0.357
620,0.4,0.1,0.473,0.309
621,0.6,0.5,0.534,0.231
622,0.6,0.1,0.534,0.231
623,0.533,0.5,0.473,0.309
624,0.4,0.5,0.473,0.309
625,0.6,0.233,0.467,0.365
626,0.533,0.1,0.534,0.231
627,0.467,0.5,0.503,0.27
628,0.533,0.5,0.467,0.365
629,0.6,0.233,0.534,0.231
630,0.4,0.5,0.467,0.365
631,0.467,0.367,0.534,0.231
632,0.6,0.233,0.503,0.27
633,0.533,0.1,0.503,0.27
634,0.467,0.233,0.534,0.231
635,0.4,0.1,0.473,0.309
636,0.4,0.1,0.503,0.27
637,0.4,0.233,0.473,0.309
638,0.533,0.233,0.473,0.309
639,0.467,0.5,0.503,0.27
640,0.467,0.1,0.503,0.27
641,0.533,0.233,0.467,0.365
642,0.467,0.5,0.467,0.365
643,0.4,0.367,0.473,0.309
644,0.467,0.5,0.467,0.365
645,0.467,0.5,0.473,0.309
646,0.533,0.233,0.473,0.309
647,0.467,0.1,0.473,0.309
648,0.4,0.1,0.467,0.365
649,0.533,0.1,0.473,0.309
650,0.6,0.233,0.467,0.365
651,0.6,0.5,0.467,0.365
652,0.4,0.233,0.467,0.365
653,0.533,0.367,0.467,0.357
654,0.4,0.1,0.473,0.309
655,0.4,0.367,0.503,0.27
656,0.533,0.5,0.467,0.357
657,0.467,0.5,0.467,0.357
658,0.467,0.5,0.467,0.357
659,0.467,0.5,0.467,0.365
660,0.467,0.233,0.503,0.27
661,0.467,0.367,0.473,0.309
662,0.4,0.1,0.473,0.309
663,0.467,0.233,0.503,0.27
664,0.533,0.233,0.534,0.231
665,0.4,0.1,0.467,0.365
666,0.533,0.5,0.467,0.357
667,0.6,0.1,0.467,0.357
668,0.533,0.1,0.534,0.231
669,0.4,0.233,0.473,0.309
670,0.6,0.1,0.534,0.231
671,0.6,0.1,0.534,0.231
672,0.4,0.5,0.534,0.231
673,0.4,0.1,0.467,0.357
674,0.467,0.5,0.473,0.309
675,0.4,0.1,0.467,0.365
676,0.467,0.367,0.473,0.309
677,0.467,0.5,0.503,0.27
678,0.6,0.1,0.534,0.231
679,0.4,0.1,0.473,0.309
680,0.4,0.1,0.467,0.357
681,0.467,0.1,0.467,0.365
682,0.533,0.5,0.473,0.309
683,0.533,0.367,0.467,0.357
684,0.4,0.233,0.534,0.231
685,0.4,0.5,0.503,0.27
686,0.6,0.5,0.503,0.27
687,0.533,0.5,0.503,0.27
688,0.6,0.1,0.534,0.231
689,0.467,0.233,0.473,0.309
690,0.6,0.233,0.473,0.309
691,0.6,0.233,0.503,0.27
692,0.467,0.1,0.467,0.357
693,0.6,0.5,0.467,0.365
694,0.467,0.1,0.467,0.357
695,0.6,0.367,0.534,0.231
696,0.467,0.5,0.467,0.365
697,0.467,0.1,0.534,0.231
698,0.4,0.5,0.467,0.357
699,0.467,0.367,0.473,0.309
700,0.6,0.5,0.467,0.357
701,0.467,0.233,0.473,0.309
702,0.6,0.233,0.473,0.309
703,0.6,0.233,0.473,0.309
704,0.4,0.233,0.467,0.365
705,0.6,0.5,0.467,0.357
706,0.467,0.367,0.503,0.27
707,0.4,0.5,0.473,0.309
708,0.6,0.1,0.473,0.309
709,0.467,0.5,0.467,0.365
710,0.4,0.5,0.503,0.27
711,0.467,0.233,0.473,0.309
712,0.533,0.367,0.473,0.309
713,0.6,0.5,0.473,0.309
714,0.533,0.367,0.534,0.231
715,0.4,0.1,0.473,0.309
716,0.467,0.5,0.473,0.309
717,0.467,0.367,0.467,0.365
718,0.6,0.233,0.503,0.27
719,0.6,0.5,0.473,0.309
720,0.6,0.1,0.473,0.309
721,0.467,0.367,0.473,0.309
722,0.4,0.233,0.467,0.357
723,0.4,0.1,0.534,0.231
724,0.4,0.233,0.473,0.309
725,0.6,0.5,0.473,0.309
726,0.4,0.367,0.467,0.357
727,0.467,0.367,0.467,0.365
728,0.467,0.233,0.467,0.365
729,0.4,0.233,0.473,0.309
730,0.4,0.367,0.473,0.309
731,0.4,0.5,0.467,0.365
732,0.467,0.367,0.473,0.309
733,0.6,0.1,0.473,0.309
734,0.533,0.367,0.467,0.357
735,0.467,0.367,0.467,0.357
736,0.533,0.1,0.503,0.27
737,0.6,0.367,0.534,0.231
738,0.467,0.367,0.473,0.309
739,0.4,0.1,0.473,0.309
740,0.4,0.5,0.467,0.365
741,0.467,0.5,0.473,0.309
742,0.4,0.233,0.473,0.309
743,0.6,0.1,0.473,0.309
744,0.6,0.367,0.473,0.309
745,0.4,0.1,0.473,0.309
746,0.467,0.367,0.473,0.309
747,0.6,0.1,0.473,0.309
748,0.6,0.5,0.467,0.365
749,0.6,0.367,0.473,0.309
750,0.533,0.233,0.473,0.309
751,0.533,0.5,0.503,0.27
752,0.6,0.367,0.467,0.357
753,0.4,0.233,0.467,0.365
754,0.6,0.367,0.473,0.309
755,0.533,0.1,0.473,0.309
756,0.6,0.1,0.534,0.231
757,0.533,0.1,0.503,0.27
758,0.467,0.1,0.503,0.27
759,0.533,0.367,0.473,0.309
760,0.467,0.233,0.473,0.309
761,0.6,0.233,0.503,0.27
762,0.533,0.367,0.473,0.309
763,0.4,0.367,0.473,0.309
764,0.533,0.5,0.473,0.309
765,0.467,0.5,0.467,0.357
766,0.533,0.233,0.534,0.231
767,0.6,0.1,0.534,0.231
768,0.467,0.233,0.534,0.231
769,0.467,0.1,0.473,0.309
770,0.6,0.367,0.503,0.27
771,0.4,0.1,0.534,0.231
772,0.533,0.1,0.473,0.309
773,0.533,0.1,0.473,0.309
